,virus,protein,tn,fp,fn,tp
0,Zaire_ebolavirus,NP,26728.0,0.0,0.0,0.0
1,Zaire_ebolavirus,L,155293.0,0.0,0.0,0.0
2,Zaire_ebolavirus,GP,37951.0,4.0,0.0,0.0
3,Zaire_ebolavirus,VP24,2395.0,0.0,0.0,0.0
4,Zaire_ebolavirus,VP30,2878.0,0.0,0.0,0.0
5,Zaire_ebolavirus,VP35,6668.0,0.0,0.0,0.0
6,Zaire_ebolavirus,VP40,4632.0,0.0,36.0,66.0
7,Lassa_mammarenavirus,NP,82903.0,0.0,0.0,0.0
8,Lassa_mammarenavirus,L,217594.0,0.0,0.0,0.0
9,Lassa_mammarenavirus,GPC,11736.0,0.0,0.0,0.0
10,Lassa_mammarenavirus,Z,5994.0,6.0,116.0,1443.0
11,Bluetongue_virus,NS1,72668.0,0.0,0.0,0.0
12,Bluetongue_virus,NS2,45820.0,0.0,0.0,0.0
13,Bluetongue_virus,NS3,39974.0,0.0,27.0,4691.0
14,Bluetongue_virus,VP1,148186.0,0.0,0.0,0.0
15,Bluetongue_virus,VP2,172864.0,1.0,0.0,0.0
16,Bluetongue_virus,VP3,125200.0,0.0,0.0,0.0
17,Bluetongue_virus,VP4,82124.0,0.0,0.0,0.0
18,Bluetongue_virus,VP5,80855.0,0.0,0.0,0.0
19,Bluetongue_virus,VP6,45529.0,0.0,0.0,0.0
20,Bluetongue_virus,VP7,50318.0,0.0,0.0,0.0
21,Marburg_virus,NP,12917.0,0.0,154.0,213.0
22,Marburg_virus,L,40585.0,0.0,0.0,0.0
23,Marburg_virus,GP,12566.0,13.0,0.0,0.0
24,Marburg_virus,VP24,3921.0,0.0,0.0,0.0
25,Marburg_virus,VP30,4402.0,0.0,0.0,0.0
26,Marburg_virus,VP35,5644.0,0.0,0.0,0.0
27,Marburg_virus,VP40,4781.0,0.0,0.0,0.0
